Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Cluster
1,0.7189134397952566,Male,Blouse,Clothing,-0.2856286395859995,Kentucky,L,Gray,Winter,-0.9075835732839902,Yes,Express,0.0,Yes,-0.7858306710129407,Venmo,0.0,3
2,-1.6486292371745561,Male,Sweater,Clothing,0.1788521851833185,Maine,L,Maroon,Winter,-0.9075835732839902,Yes,Express,0.0,Yes,-1.6165522585850673,Cash,0.0,2
3,0.39008806799389373,Male,Jeans,Clothing,0.5588819509036695,Massachusetts,S,Maroon,Spring,-0.9075835732839902,Yes,Free Shipping,0.0,Yes,-0.16278948033384563,Credit Card,0.0,2
4,-1.517099088454011,Male,Sandals,Footwear,1.2767159528198884,Rhode Island,M,Maroon,Spring,-0.3490265374929911,Yes,Next Day Air,0.0,Yes,1.6371072927390957,PayPal,0.0,2
5,0.06126269619253086,Male,Blouse,Clothing,-0.45453075768393325,Oregon,M,Turquoise,Spring,-1.4661406090749893,Yes,Free Shipping,0.0,Yes,0.3910249113809056,PayPal,0.0,3
6,0.12702777055280343,Male,Sneakers,Footwear,-1.6790711138939531,Wyoming,M,White,Summer,-1.18686209117949,Yes,Standard,0.0,Yes,-0.7858306710129407,Venmo,0.0,3
7,1.2450340346774371,Male,Shirt,Clothing,1.065588305197471,Montana,M,Gray,Fall,-0.7679443143362402,Yes,Free Shipping,0.0,Yes,1.6371072927390957,Cash,0.0,3
8,-1.1225086422923753,Male,Shorts,Clothing,-1.087913700551185,Louisiana,L,Charcoal,Winter,-0.7679443143362402,Yes,Free Shipping,0.0,Yes,-0.43969667619122116,Credit Card,0.0,1
9,-1.188273716652648,Male,Coat,Outerwear,1.5722946594912726,West Virginia,L,Silver,Summer,-1.6057798680227393,Yes,Express,0.0,Yes,-1.201191464799004,Venmo,0.0,2
10,0.8504435885158017,Male,Handbag,Accessories,-1.2145902891246352,Missouri,M,Pink,Spring,1.4662838288277562,Yes,2-Day Shipping,0.0,Yes,-1.4780986606563795,Cash,0.0,1
11,0.5873832910747114,Male,Shoes,Footwear,-1.087913700551185,Arkansas,L,Purple,Fall,0.48880901619350725,Yes,Store Pickup,0.0,Yes,0.04489091655918608,Bank Transfer,0.0,1
12,-0.9252134192115578,Male,Shorts,Clothing,0.3477543032812523,Hawaii,S,Olive,Winter,1.6059230877755069,Yes,Store Pickup,0.0,Yes,-1.0627378668703162,Bank Transfer,0.0,1
13,1.113503885956892,Male,Coat,Outerwear,0.5166564213791861,Delaware,M,Gold,Winter,1.0473660519845072,Yes,Express,0.0,Yes,0.806385705166969,Venmo,0.0,0
14,1.3765641833979823,Male,Dress,Clothing,-0.37007969863496637,New Hampshire,M,Violet,Spring,1.326644569880007,Yes,Express,0.0,Yes,0.3910249113809056,PayPal,0.0,0
15,1.3107991090377098,Male,Coat,Outerwear,-0.2856286395859995,New York,L,Teal,Winter,1.326644569880007,Yes,Free Shipping,0.0,Yes,0.5987053082739372,Debit Card,0.0,0
16,1.3107991090377098,Male,Skirt,Clothing,0.8966861870995372,Rhode Island,M,Teal,Winter,-1.32650135012724,Yes,Store Pickup,0.0,Yes,-1.201191464799004,PayPal,0.0,3
17,-1.2540387910129207,Male,Sunglasses,Accessories,-1.003462641502218,Alabama,S,Gray,Spring,0.48880901619350725,Yes,Next Day Air,0.0,Yes,1.2909732979173763,Debit Card,0.0,1
18,0.5873832910747114,Male,Dress,Clothing,-0.9190115824532512,Mississippi,XL,Lavender,Winter,1.326644569880007,Yes,2-Day Shipping,0.0,Yes,0.737158906202625,Venmo,0.0,1
19,0.5216182167144389,Male,Sweater,Clothing,-0.49675628720841675,Montana,S,Black,Summer,1.1870053109322565,Yes,Free Shipping,0.0,Yes,-0.578150274119909,Cash,0.0,1
20,1.442329257758255,Male,Pants,Clothing,1.2767159528198884,Rhode Island,M,Green,Summer,-0.628305055388491,Yes,Standard,0.0,Yes,1.429426895846064,Debit Card,0.0,0
21,-1.517099088454011,Male,Pants,Clothing,-0.37007969863496637,Louisiana,M,Black,Winter,-1.32650135012724,Yes,Express,0.0,Yes,1.7063340917034397,Cash,0.0,2
22,-0.8594483448512852,Male,Pants,Clothing,0.09440112613435159,North Carolina,M,Charcoal,Winter,0.48880901619350725,Yes,Store Pickup,0.0,Yes,-0.23201627929818952,Debit Card,0.0,1
23,0.7846785141555291,Male,Pants,Clothing,-0.9612371119777346,California,M,Peach,Summer,-0.7679443143362402,Yes,Store Pickup,0.0,Yes,0.4602517103452495,Debit Card,0.0,3
24,-0.8594483448512852,Male,Pants,Clothing,1.1922648937709215,Oklahoma,XL,White,Winter,0.9077267930367577,Yes,Express,0.0,Yes,1.0140661020600008,Credit Card,0.0,0
25,-1.7143943115348286,Male,Jacket,Outerwear,-1.5946200548449863,Florida,M,Green,Fall,-1.18686209117949,Yes,Store Pickup,0.0,Yes,-0.647377073084253,Debit Card,0.0,1
